 market  , stkcode  , order_book_id  , ind_number_2021  
 1       , 730906   , 730906.XSHG    , NULL             
 1       , 730968   , 730968.XSHG    , NULL             
 1       , 732282   , 732282.XSHG    , NULL             
 1       , 732291   , 732291.XSHG    , NULL             
 1       , 736153   , 736153.XSHG    , NULL             
 1       , 787502   , 787502.XSHG    , NULL             
 1       , 787531   , 787531.XSHG    , NULL             
 1       , 789539   , 789539.XSHG    , NULL             
 0       , 000005   , 000005.XSHE    , ind30            
 0       , 000009   , 000009.XSHE    , ind21            
 0       , 000014   , 000014.XSHE    , ind19            
 0       , 000023   , 000023.XSHE    , ind14            
 0       , 000026   , 000026.XSHE    , ind22            
 0       , 000034   , 000034.XSHE    , ind26            
 0       , 000060   , 000060.XSHE    , ind25            
 0       , 000078   , 000078.XSHE    , ind1             
 0       , 000088   , 000088.XSHE    , ind3             
 0       , 000301   , 000301.XSHE    , ind29            
 0       , 000400   , 000400.XSHE    , ind21            
 0       , 000417   , 000417.XSHE    , ind23            
 0       , 000504   , 000504.XSHE    , ind1             
 0       , 000507   , 000507.XSHE    , ind3             
 0       , 000513   , 000513.XSHE    , ind1             
 0       , 000517   , 000517.XSHE    , ind19            
 0       , 000565   , 000565.XSHE    , ind5             
 0       , 000581   , 000581.XSHE    , ind2             
 0       , 000610   , 000610.XSHE    , ind18            
 0       , 000625   , 000625.XSHE    , ind2             
 0       , 000652   , 000652.XSHE    , ind8             
 0       , 000682   , 000682.XSHE    , ind21            
 0       , 000686   , 000686.XSHE    , ind28            
 0       , 000710   , 000710.XSHE    , ind1             
 0       , 000711   , 000711.XSHE    , ind30            
 0       , 000729   , 000729.XSHE    , ind11            
 0       , 000739   , 000739.XSHE    , ind1             
 0       , 000756   , 000756.XSHE    , ind1             
 0       , 000758   , 000758.XSHE    , ind25            
 0       , 000797   , 000797.XSHE    , ind19            
 0       , 000799   , 000799.XSHE    , ind11            
 0       , 000813   , 000813.XSHE    , ind1             
 0       , 000833   , 000833.XSHE    , ind8             
 0       , 000897   , 000897.XSHE    , ind19            
 0       , 000916   , 000916.XSHE    , ind3             
 0       , 000925   , 000925.XSHE    , ind15            
 0       , 000935   , 000935.XSHE    , ind14            
 0       , 000949   , 000949.XSHE    , ind5             
,,,
 market  , stkcode  , order_book_id  , ind_number_2021  
,,,
 0       , 000957   , 000957.XSHE    , ind2             
 0       , 000965   , 000965.XSHE    , ind19            
